Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,SMA20,Upper Band,Lower Band
2025-09-10,111546.38000000,114313.13000000,110917.45000000,113960.00000000,17517.41823000,2025-09-10 23:59:59.999,1978834750.22231150,2182534,8274.63998000,934646697.48233240,111474.1375,115934.52551904102,107013.74948095897
2025-09-11,113960.00000000,115488.09000000,113430.00000000,115482.69000000,13676.73119000,2025-09-11 23:59:59.999,1562241144.95654100,2166359,6744.29993000,770595422.69052130,111401.47249999999,115521.57974057985,107281.36525942013
2025-09-12,115482.69000000,116665.63000000,114740.99000000,116029.42000000,15324.10719000,2025-09-12 23:59:59.999,1772122269.50186350,2481491,7995.57276000,924775389.85693960,111431.041,115679.60860199254,107182.47339800745
2025-09-13,116029.41000000,116298.78000000,115127.27000000,115918.29000000,8269.40394000,2025-09-13 23:59:59.999,957724220.64976110,1223635,3590.09359000,415773029.43935270,111552.276,116170.91987438625,106933.63212561375
2025-09-14,115918.29000000,116165.19000000,115135.00000000,115268.01000000,6707.60197000,2025-09-14 23:59:59.999,775762364.96859910,1237218,3406.90777000,393977059.30354210,111810.07750000001,116660.02340757728,106960.13159242275
2025-09-15,115268.01000000,116757.99000000,114384.00000000,115349.71000000,13212.51149000,2025-09-15 23:59:59.999,1522648235.22351530,2857989,6621.36360000,763138585.68502490,111989.402,117090.75455107618,106888.04944892382
2025-09-16,115349.71000000,116964.27000000,114737.11000000,116788.96000000,10926.90940000,2025-09-16 23:59:59.999,1265779287.51692670,2047058,5292.18365000,613182568.99191850,112265.7495,117783.03981219298,106748.45918780704
2025-09-17,116788.96000000,117286.73000000,114720.81000000,116447.59000000,16754.24540000,2025-09-17 23:59:59.999,1946083704.62174570,3227418,7975.00190000,926282110.83307900,112459.78399999999,118285.97621046005,106633.59178953992
2025-09-18,116447.60000000,117900.00000000,116092.76000000,117073.53000000,11657.23365000,2025-09-18 23:59:59.999,1367513347.48650940,2252654,5717.34538000,670700552.93472770,112894.5905,118735.9333273775,107053.24767262251
2025-09-19,117073.53000000,117459.99000000,115100.00000000,115632.38000000,8992.09065000,2025-09-19 23:59:59.999,1045792401.45323890,1732471,4020.81483000,467345983.07867990,113235.393,118866.44346549196,107604.34253450803
2025-09-20,115632.39000000,116121.81000000,115408.47000000,115685.63000000,4674.92752000,2025-09-20 23:59:59.999,541264273.24168940,740451,2276.16483000,263511469.84325880,113607.35699999999,118817.92180104057,108396.7921989594
2025-09-21,115685.63000000,115819.06000000,115188.00000000,115232.29000000,4511.52219000,2025-09-21 23:59:59.999,521299751.15040960,945965,2016.72489000,233031538.74699310,113907.10049999999,118734.86157849563,109079.33942150434
2025-09-22,115232.29000000,115379.25000000,111800.00000000,112650.99000000,20781.71356000,2025-09-22 23:59:59.999,2348872511.69887510,3045876,9312.35777000,1052684266.89818760,113977.64950000001,118680.93982693694,109274.35917306309
2025-09-23,112650.99000000,113290.50000000,111458.73000000,111998.80000000,12301.32030000,2025-09-23 23:59:59.999,1383869800.27370310,2455729,5543.36090000,623665658.72003280,113992.304,118667.53111380815,109317.07688619186
2025-09-24,111998.80000000,113940.00000000,111042.66000000,113307.00000000,12369.25967000,2025-09-24 23:59:59.999,1394470628.50258200,2229837,6100.69487000,687826281.22047700,114121.1105,118553.64982767846,109688.57117232154
2025-09-25,113307.01000000,113510.23000000,108631.51000000,108994.49000000,21231.14957000,2025-09-25 23:59:59.999,2356639689.92521460,4409953,9511.07937000,1055527535.76844470,114037.8355,118794.86600579882,109280.80499420119
2025-09-26,108994.49000000,110300.00000000,108620.07000000,109643.46000000,14243.01591000,2025-09-26 23:59:59.999,1557098915.93925960,3257155,6978.29033000,762955442.75240000,114010.61000000002,118865.63687871867,109155.58312128136
2025-09-27,109643.46000000,109743.91000000,109064.40000000,109635.85000000,5501.78643000,2025-09-27 23:59:59.999,601947588.99707650,919594,2523.25886000,276080500.99419540,113935.5355,119018.71166044034,108852.35933955965
2025-09-28,109635.85000000,112350.00000000,109189.99000000,112163.95000000,7542.33160000,2025-09-28 23:59:59.999,832254944.32033530,1484866,3781.87606000,417495757.16935000,113940.47150000001,119016.18694678317,108864.75605321686
